#name	rank	LBI
15	1	1.75
84	2	1.375
7	3	1.375
49	4	0.875
75	5	0.75
68	6	0.75
54	7	0.75
78	8	0.75
9	9	0.75
41	10	0.75
56	11	0.75
35	12	0.625
59	13	0.625
46	14	0.625
37	15	0.625
13	16	0.625
25	17	0.625
27	18	0.625
47	19	0.625
73	20	0.5
4	21	0.5
51	22	0.5
44	23	0.5
45	24	0.5
71	25	0.5
77	26	0.5
42	27	0.5
80	28	0.5
30	29	0.5
32	30	0.5
89	31	0.5
48	32	0.5
63	33	0.5
87	34	0.5
28	35	0.5
67	36	0.5
52	37	0.5
60	38	0.375
85	39	0.375
19	40	0.375
16	41	0.375
82	42	0.375
34	43	0.375
62	44	0.375
81	45	0.375
86	46	0.375
20	47	0.375
17	48	0.375
55	49	0.375
76	50	0.375
50	51	0.375
12	52	0.375
57	53	0.375
11	54	0.375
14	55	0.375
31	56	0.375
10	57	0.375
21	58	0.375
23	59	0.375
40	60	0.375
36	61	0.375
83	62	0.375
64	63	0.375
2	64	0.375
74	65	0.375
70	66	0.375
6	67	0.375
33	68	0.375
5	69	0.375
39	70	0.375
58	71	0.375
72	72	0.375
38	73	0.375
43	74	0.375
61	75	0.375
26	76	0.375
65	77	0.375
53	78	0.375
22	79	0.375
24	80	0.375
88	81	0.375
3	82	0.375
8	83	0.375
29	84	0.375
66	85	0.375
69	86	0.375
79	87	0.375
18	88	0.3705898904141377
1	89	0.25
