#name	rank	LBI
153	1	2.625
16	2	1.875
140	3	1.625
81	4	1.5
7	5	1.25
103	6	1.25
99	7	1.125
158	8	1.125
135	9	1.0
50	10	0.875
55	11	0.75
57	12	0.75
95	13	0.75
151	14	0.75
89	15	0.75
29	16	0.75
127	17	0.75
41	18	0.75
156	19	0.75
78	20	0.75
96	21	0.625
48	22	0.625
146	23	0.625
39	24	0.625
10	25	0.625
14	26	0.625
36	27	0.625
32	28	0.625
128	29	0.625
47	30	0.625
119	31	0.625
45	32	0.625
87	33	0.625
60	34	0.625
73	35	0.625
52	36	0.5
30	37	0.5
106	38	0.5
86	39	0.5
4	40	0.5
84	41	0.5
94	42	0.5
80	43	0.5
113	44	0.5
68	45	0.5
114	46	0.5
129	47	0.5
27	48	0.5
76	49	0.5
132	50	0.5
144	51	0.5
116	52	0.5
8	53	0.5
71	54	0.5
64	55	0.5
49	56	0.5
149	57	0.5
53	58	0.5
69	59	0.5
42	60	0.5
111	61	0.4998032437682437
77	62	0.375
88	63	0.375
11	64	0.375
17	65	0.375
107	66	0.375
138	67	0.375
139	68	0.375
102	69	0.375
15	70	0.375
13	71	0.375
54	72	0.375
34	73	0.375
123	74	0.375
159	75	0.375
43	76	0.375
2	77	0.375
40	78	0.375
25	79	0.375
75	80	0.375
157	81	0.375
19	82	0.375
118	83	0.375
108	84	0.375
115	85	0.375
104	86	0.375
65	87	0.375
72	88	0.375
85	89	0.375
124	90	0.375
70	91	0.375
6	92	0.375
137	93	0.375
58	94	0.375
79	95	0.375
142	96	0.375
147	97	0.375
133	98	0.375
112	99	0.375
155	100	0.375
61	101	0.375
93	102	0.375
120	103	0.375
125	104	0.375
59	105	0.375
63	106	0.375
44	107	0.375
145	108	0.375
12	109	0.375
9	110	0.375
152	111	0.375
66	112	0.375
110	113	0.375
154	114	0.375
46	115	0.375
24	116	0.375
74	117	0.375
122	118	0.375
22	119	0.375
51	120	0.375
105	121	0.375
143	122	0.375
117	123	0.375
83	124	0.375
82	125	0.375
160	126	0.375
56	127	0.375
136	128	0.375
150	129	0.375
26	130	0.375
100	131	0.375
121	132	0.375
33	133	0.375
130	134	0.375
62	135	0.375
18	136	0.375
5	137	0.375
35	138	0.375
37	139	0.375
126	140	0.375
98	141	0.375
23	142	0.375
3	143	0.375
92	144	0.375
31	145	0.375
134	146	0.375
109	147	0.375
38	148	0.375
141	149	0.375
67	150	0.375
28	151	0.375
131	152	0.375
97	153	0.375
148	154	0.375
20	155	0.375
91	156	0.37486882917882913
101	157	0.37486882917882913
90	158	0.37486882917882913
21	159	0.37486882917882913
1	160	0.25
