#name	rank	LBI
119	1	2.625
169	2	2.125
16	3	1.75
106	4	1.625
81	5	1.5
7	6	1.25
152	7	1.25
124	8	1.125
133	9	1.125
101	10	1.0
50	11	0.875
93	12	0.75
78	13	0.75
129	14	0.75
89	15	0.75
168	16	0.75
117	17	0.75
41	18	0.75
57	19	0.75
122	20	0.75
29	21	0.75
55	22	0.75
39	23	0.625
48	24	0.625
73	25	0.625
36	26	0.625
87	27	0.625
130	28	0.625
143	29	0.625
45	30	0.625
27	31	0.625
60	32	0.625
10	33	0.625
112	34	0.625
14	35	0.625
32	36	0.625
47	37	0.625
94	38	0.625
137	39	0.5
80	40	0.5
163	41	0.5
30	42	0.5
68	43	0.5
158	44	0.5
128	45	0.5
115	46	0.5
140	47	0.5
52	48	0.5
86	49	0.5
110	50	0.5
71	51	0.5
53	52	0.5
69	53	0.5
177	54	0.5
8	55	0.5
84	56	0.5
176	57	0.5
138	58	0.5
42	59	0.5
76	60	0.5
4	61	0.5
95	62	0.5
49	63	0.5
64	64	0.5
155	65	0.5
98	66	0.5
157	67	0.49992235741008345
51	68	0.375
88	69	0.375
118	70	0.375
102	71	0.375
170	72	0.375
59	73	0.375
165	74	0.375
164	75	0.375
127	76	0.375
46	77	0.375
146	78	0.375
154	79	0.375
145	80	0.375
160	81	0.375
167	82	0.375
116	83	0.375
19	84	0.375
6	85	0.375
144	86	0.375
5	87	0.375
132	88	0.375
149	89	0.375
100	90	0.375
113	91	0.375
61	92	0.375
11	93	0.375
126	94	0.375
77	95	0.375
114	96	0.375
54	97	0.375
125	98	0.375
38	99	0.375
179	100	0.375
136	101	0.375
85	102	0.375
156	103	0.375
67	104	0.375
172	105	0.375
66	106	0.375
34	107	0.375
104	108	0.375
151	109	0.375
120	110	0.375
74	111	0.375
15	112	0.375
96	113	0.375
70	114	0.375
121	115	0.375
82	116	0.375
123	117	0.375
108	118	0.375
99	119	0.375
63	120	0.375
134	121	0.375
40	122	0.375
62	123	0.375
148	124	0.375
103	125	0.375
31	126	0.375
65	127	0.375
159	128	0.375
173	129	0.375
97	130	0.375
107	131	0.375
2	132	0.375
13	133	0.375
37	134	0.375
12	135	0.375
178	136	0.375
79	137	0.375
33	138	0.375
175	139	0.375
166	140	0.375
20	141	0.375
111	142	0.375
22	143	0.375
141	144	0.375
56	145	0.375
24	146	0.375
44	147	0.375
150	148	0.375
162	149	0.375
171	150	0.375
105	151	0.375
3	152	0.375
161	153	0.375
43	154	0.375
17	155	0.375
174	156	0.375
18	157	0.375
58	158	0.375
153	159	0.375
25	160	0.375
142	161	0.375
26	162	0.375
28	163	0.375
83	164	0.375
139	165	0.375
72	166	0.375
92	167	0.375
35	168	0.375
147	169	0.375
131	170	0.375
109	171	0.375
9	172	0.375
23	173	0.375
75	174	0.375
90	175	0.37494823827338897
21	176	0.37494823827338897
180	177	0.37494823827338897
135	178	0.37494823827338897
91	179	0.37494823827338897
1	180	0.25
