#name	rank	LBI
21	1	1.625
7	2	1.375
55	3	0.875
60	4	0.75
15	5	0.75
33	6	0.625
47	7	0.625
52	8	0.625
40	9	0.625
43	10	0.625
36	11	0.625
31	12	0.625
53	13	0.625
19	14	0.625
49	15	0.625
4	16	0.5
34	17	0.5
54	18	0.5
46	19	0.5
50	20	0.5
58	21	0.5
9	22	0.5
57	23	0.5
61	24	0.375
16	25	0.375
11	26	0.375
51	27	0.375
17	28	0.375
38	29	0.375
41	30	0.375
8	31	0.375
26	32	0.375
42	33	0.375
12	34	0.375
56	35	0.375
14	36	0.375
48	37	0.375
30	38	0.375
39	39	0.375
10	40	0.375
20	41	0.375
45	42	0.375
6	43	0.375
2	44	0.375
23	45	0.375
37	46	0.375
5	47	0.375
24	48	0.375
22	49	0.375
18	50	0.375
27	51	0.375
28	52	0.375
3	53	0.375
35	54	0.375
29	55	0.375
32	56	0.375
13	57	0.375
59	58	0.375
44	59	0.375
25	60	0.35857049425876025
1	61	0.25
