#name	rank	LBI
15	1	1.75
78	2	1.5
7	3	1.375
49	4	0.875
68	5	0.75
54	6	0.75
75	7	0.75
41	8	0.75
9	9	0.75
56	10	0.75
13	11	0.625
84	12	0.625
59	13	0.625
25	14	0.625
37	15	0.625
47	16	0.625
46	17	0.625
35	18	0.625
27	19	0.625
67	20	0.625
48	21	0.5
88	22	0.5
52	23	0.5
4	24	0.5
42	25	0.5
86	26	0.5
81	27	0.5
30	28	0.5
45	29	0.5
83	30	0.5
51	31	0.5
28	32	0.5
32	33	0.5
44	34	0.5
63	35	0.5
73	36	0.5
77	37	0.5
50	38	0.375
31	39	0.375
71	40	0.375
79	41	0.375
66	42	0.375
82	43	0.375
64	44	0.375
53	45	0.375
80	46	0.375
26	47	0.375
91	48	0.375
70	49	0.375
12	50	0.375
2	51	0.375
34	52	0.375
69	53	0.375
24	54	0.375
21	55	0.375
74	56	0.375
5	57	0.375
58	58	0.375
57	59	0.375
36	60	0.375
85	61	0.375
43	62	0.375
6	63	0.375
19	64	0.375
33	65	0.375
38	66	0.375
62	67	0.375
17	68	0.375
3	69	0.375
22	70	0.375
29	71	0.375
23	72	0.375
61	73	0.375
40	74	0.375
72	75	0.375
10	76	0.375
11	77	0.375
92	78	0.375
16	79	0.375
89	80	0.375
93	81	0.375
60	82	0.375
55	83	0.375
14	84	0.375
90	85	0.375
76	86	0.375
65	87	0.375
8	88	0.375
39	89	0.375
20	90	0.375
87	91	0.37106262561185344
18	92	0.37106262561185344
1	93	0.25
