#name	rank	LBI
122	1	2.625
16	2	1.875
109	3	1.625
7	4	1.25
90	5	1.25
127	6	1.125
104	7	1.0
50	8	0.875
84	9	0.75
29	10	0.75
73	11	0.75
57	12	0.75
41	13	0.75
96	14	0.75
55	15	0.75
125	16	0.75
120	17	0.75
14	18	0.625
39	19	0.625
45	20	0.625
32	21	0.625
115	22	0.625
76	23	0.625
97	24	0.625
48	25	0.625
82	26	0.625
10	27	0.625
36	28	0.625
47	29	0.625
80	30	0.625
49	31	0.5
27	32	0.5
78	33	0.5
113	34	0.5
118	35	0.5
75	36	0.5
8	37	0.5
60	38	0.5
71	39	0.5
42	40	0.5
30	41	0.5
53	42	0.5
98	43	0.5
4	44	0.5
89	45	0.5
101	46	0.5
95	47	0.5
65	48	0.5
93	49	0.5
52	50	0.5
88	51	0.5
17	52	0.375
129	53	0.375
20	54	0.375
94	55	0.375
107	56	0.375
103	57	0.375
99	58	0.375
24	59	0.375
102	60	0.375
54	61	0.375
34	62	0.375
38	63	0.375
121	64	0.375
128	65	0.375
11	66	0.375
77	67	0.375
66	68	0.375
33	69	0.375
46	70	0.375
74	71	0.375
23	72	0.375
91	73	0.375
112	74	0.375
56	75	0.375
81	76	0.375
58	77	0.375
61	78	0.375
72	79	0.375
21	80	0.375
111	81	0.375
6	82	0.375
37	83	0.375
67	84	0.375
62	85	0.375
123	86	0.375
59	87	0.375
31	88	0.375
51	89	0.375
110	90	0.375
79	91	0.375
100	92	0.375
43	93	0.375
116	94	0.375
92	95	0.375
126	96	0.375
3	97	0.375
124	98	0.375
105	99	0.375
87	100	0.375
83	101	0.375
44	102	0.375
25	103	0.375
64	104	0.375
19	105	0.375
68	106	0.375
28	107	0.375
2	108	0.375
9	109	0.375
108	110	0.375
26	111	0.375
35	112	0.375
117	113	0.375
12	114	0.375
69	115	0.375
70	116	0.375
40	117	0.375
119	118	0.375
63	119	0.375
5	120	0.375
22	121	0.375
106	122	0.375
114	123	0.375
13	124	0.375
15	125	0.375
86	126	0.37451123517823737
18	127	0.37451123517823737
85	128	0.37451123517823737
1	129	0.25
